id,lesson_id,stage_id,route_id,title,drill_type,target_skill,skill_category,difficulty,order_index,prerequisites,instructions,coach_cues,expected_mistakes,correction_cues,pass_criteria,fail_criteria,repetition_count,suggested_duration,rest_duration,scoring_logic,mastery_threshold,safety_notes
D011,S1_L02,S1,R3,Commit and Complete 2,confidence_rep,recording_confidence,performance_confidence,easy,5,"[""D010""]",Complete the short rep from start to finish without stopping yourself. Use the reference replay if needed.,"[""finish the rep even if imperfect"", ""treat this as a safe practice try""]","[""stopping early"", ""singing too quietly to be detected"", ""self-interrupting""]","[""commit to the full short rep"", ""use speaking-level clarity"", ""treat it as practice not performance""]",score >= threshold AND abort_flag = false,score < 72 OR low_confidence_cap_triggered,5,3m 10s,30s,"{""weights"": {""completion"": 0.4, ""confidence"": 0.2, ""accuracy"": 0.15, ""control"": 0.15, ""expression"": 0.1}, ""metrics"": [""completion_ratio"", ""abort_flag"", ""voiced_ratio"", ""mean_abs_cents"", ""self_interrupt_count""], ""pass_rule"": ""score >= threshold AND abort_flag = false""}",72,"[""keep volume comfortable"", ""pause if anxiety spikes""]"
D012,S1_L02,S1,R4,Step the Interval 2,interval_jump,mixed_interval_recall,interval_accuracy,easy,6,"[""D011""]","Hear both notes, then sing the jump cleanly without sliding unless told. Use the reference replay if needed.","[""hear both notes in your head"", ""keep the jump light""]","[""wrong direction"", ""undershooting the jump"", ""forgetting the first note center""]","[""hear both notes before singing"", ""anchor the first pitch"", ""keep the jump light not forced""]",score >= threshold AND interval_size_error_semitones <= 1,score < 72 OR low_confidence_cap_triggered,4,3m 20s,30s,"{""weights"": {""accuracy"": 0.35, ""control"": 0.25, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""note1_abs_cents"", ""note2_abs_cents"", ""interval_size_error_semitones"", ""correct_direction"", ""stability_stddev_cents_note2""], ""pass_rule"": ""score >= threshold AND interval_size_error_semitones <= 1""}",72,"[""reduce range if the leap feels strained""]"
D013,S1_L03,S1,R1,Stable Sustain 3,sustain_hold,sustain_control,pitch_stability,easy,1,[],Sing the target note and keep it steady for the full hold. Use the reference replay if needed.,"[""steady airflow"", ""keep the sound calm and centered""]","[""pitch drift"", ""running out of air early"", ""jaw tension""]","[""steady your airflow"", ""release the jaw and tongue"", ""aim for a smaller steadier sound""]",score >= threshold AND held_duration_ms >= target_hold_ms * 0.8; target_hold_ms = 1500,score < 72 OR low_confidence_cap_triggered,4,2m 30s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.15}, ""metrics"": [""mean_abs_cents"", ""stability_stddev_cents"", ""held_duration_ms"", ""time_in_good_zone_ms"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND held_duration_ms >= target_hold_ms * 0.8""}",72,"[""do not force extra seconds"", ""rest if you feel breathless""]"
D014,S1_L03,S1,R3,Hold and Stay 3,sustain_hold,sustain_control,pitch_stability,easy,2,"[""D013""]",Sing the target note and keep it steady for the full hold. Use the reference replay if needed.,"[""steady airflow"", ""keep the sound calm and centered""]","[""pitch drift"", ""running out of air early"", ""jaw tension""]","[""steady your airflow"", ""release the jaw and tongue"", ""aim for a smaller steadier sound""]",score >= threshold AND held_duration_ms >= target_hold_ms * 0.8; target_hold_ms = 2000,score < 72 OR low_confidence_cap_triggered,5,2m 40s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.15}, ""metrics"": [""mean_abs_cents"", ""stability_stddev_cents"", ""held_duration_ms"", ""time_in_good_zone_ms"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND held_duration_ms >= target_hold_ms * 0.8""}",72,"[""do not force extra seconds"", ""rest if you feel breathless""]"
D015,S1_L03,S1,R1,Pitch Lock 3,match_note,single_note_matching,pitch_accuracy,easy,3,"[""D014""]","Listen to the reference, then sing the same pitch and settle in the center. Use the reference replay if needed.","[""listen first, then sing"", ""adjust slowly not suddenly""]","[""guessing the note"", ""overshooting the target"", ""starting too breathy""]","[""listen twice before singing"", ""slide slowly toward the center"", ""use a clean gentle onset""]",score >= threshold AND time_in_good_zone_ms >= 800,score < 72 OR low_confidence_cap_triggered,4,2m 50s,30s,"{""weights"": {""accuracy"": 0.4, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""mean_abs_cents"", ""time_in_good_zone_ms"", ""entry_time_ms"", ""overshoot_events"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND time_in_good_zone_ms >= 800""}",72,"[""stop if throat feels squeezed"", ""use a comfortable speaking-level volume""]"
D016,S1_L03,S1,R4,Commit and Complete 3,confidence_rep,recording_confidence,performance_confidence,easy,4,"[""D015""]",Complete the short rep from start to finish without stopping yourself. Use the reference replay if needed.,"[""finish the rep even if imperfect"", ""treat this as a safe practice try""]","[""stopping early"", ""singing too quietly to be detected"", ""self-interrupting""]","[""commit to the full short rep"", ""use speaking-level clarity"", ""treat it as practice not performance""]",score >= threshold AND abort_flag = false,score < 72 OR low_confidence_cap_triggered,4,3m 0s,30s,"{""weights"": {""completion"": 0.4, ""confidence"": 0.2, ""accuracy"": 0.15, ""control"": 0.15, ""expression"": 0.1}, ""metrics"": [""completion_ratio"", ""abort_flag"", ""voiced_ratio"", ""mean_abs_cents"", ""self_interrupt_count""], ""pass_rule"": ""score >= threshold AND abort_flag = false""}",72,"[""keep volume comfortable"", ""pause if anxiety spikes""]"
D017,S1_L03,S1,R3,Steady Hold 3,sustain_hold,sustain_control,pitch_stability,easy,5,"[""D016""]",Sing the target note and keep it steady for the full hold. Use the reference replay if needed.,"[""steady airflow"", ""keep the sound calm and centered""]","[""pitch drift"", ""running out of air early"", ""jaw tension""]","[""steady your airflow"", ""release the jaw and tongue"", ""aim for a smaller steadier sound""]",score >= threshold AND held_duration_ms >= target_hold_ms * 0.8; target_hold_ms = 2200,score < 72 OR low_confidence_cap_triggered,5,3m 10s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.15}, ""metrics"": [""mean_abs_cents"", ""stability_stddev_cents"", ""held_duration_ms"", ""time_in_good_zone_ms"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND held_duration_ms >= target_hold_ms * 0.8""}",72,"[""do not force extra seconds"", ""rest if you feel breathless""]"
D018,S1_L03,S1,R4,Glide into Tune 3,pitch_slide,pitch_entry,pitch_accuracy,easy,6,"[""D017""]","Start below or above the target as prompted, then slide smoothly into tune. Use the reference replay if needed.","[""move continuously"", ""arrive before you hold""]","[""jumping instead of sliding"", ""overshooting above target"", ""uneven airflow""]","[""move continuously not abruptly"", ""arrive and settle before holding"", ""let the breath stay even""]",score >= threshold AND correct_direction = true,score < 72 OR low_confidence_cap_triggered,4,3m 20s,30s,"{""weights"": {""accuracy"": 0.2, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.2}, ""metrics"": [""entry_time_ms"", ""hold_after_entry_ms"", ""slide_jerk_index"", ""correct_direction"", ""final_abs_cents""], ""pass_rule"": ""score >= threshold AND correct_direction = true""}",72,"[""keep slides in a comfortable range"", ""avoid pushing volume at the top of the slide""]"
D019,S1_L04,S1,R1,Settle on the Note 4,match_note,single_note_matching,pitch_accuracy,easy,1,[],"Listen to the reference, then sing the same pitch and settle in the center. Use the reference replay if needed.","[""listen first, then sing"", ""adjust slowly not suddenly""]","[""guessing the note"", ""overshooting the target"", ""starting too breathy""]","[""listen twice before singing"", ""slide slowly toward the center"", ""use a clean gentle onset""]",score >= threshold AND time_in_good_zone_ms >= 800,score < 72 OR low_confidence_cap_triggered,5,2m 30s,30s,"{""weights"": {""accuracy"": 0.4, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""mean_abs_cents"", ""time_in_good_zone_ms"", ""entry_time_ms"", ""overshoot_events"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND time_in_good_zone_ms >= 800""}",72,"[""stop if throat feels squeezed"", ""use a comfortable speaking-level volume""]"
D020,S1_L04,S1,R3,Support the Note 4,sustain_hold,sustain_control,pitch_stability,easy,2,"[""D019""]",Sing the target note and keep it steady for the full hold. Use the reference replay if needed.,"[""steady airflow"", ""keep the sound calm and centered""]","[""pitch drift"", ""running out of air early"", ""jaw tension""]","[""steady your airflow"", ""release the jaw and tongue"", ""aim for a smaller steadier sound""]",score >= threshold AND held_duration_ms >= target_hold_ms * 0.8; target_hold_ms = 2000,score < 72 OR low_confidence_cap_triggered,5,2m 40s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.15}, ""metrics"": [""mean_abs_cents"", ""stability_stddev_cents"", ""held_duration_ms"", ""time_in_good_zone_ms"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND held_duration_ms >= target_hold_ms * 0.8""}",72,"[""do not force extra seconds"", ""rest if you feel breathless""]"
D021,S1_L04,S1,R1,Shape and Ring 4,vowel_shape,vowel_consistency,tone_quality,easy,3,"[""D020""]",Keep the target vowel consistent as you sing the pattern. Use the reference replay if needed.,"[""protect the vowel identity"", ""let resonance move, not the vowel""]","[""vowel spreading"", ""tone going dull on higher note"", ""mouth shape changing too much""]","[""keep the vowel pure"", ""let resonance adjust not the vowel identity"", ""use a mirror cue if needed""]",score >= threshold AND vowel_consistency_score >= 0.75,score < 72 OR low_confidence_cap_triggered,3,2m 50s,30s,"{""weights"": {""accuracy"": 0.2, ""control"": 0.3, ""completion"": 0.2, ""confidence"": 0.1, ""expression"": 0.2}, ""metrics"": [""vowel_consistency_score"", ""formant_stability_proxy"", ""mean_abs_cents"", ""legato_score"", ""completion_ratio""], ""pass_rule"": ""score >= threshold AND vowel_consistency_score >= 0.75""}",72,"[""keep the tongue relaxed"", ""avoid exaggerated mouth movement""]"
D022,S1_L04,S1,R4,Low-Pressure Rep 4,confidence_rep,recording_confidence,performance_confidence,easy,4,"[""D021""]",Complete the short rep from start to finish without stopping yourself. Use the reference replay if needed.,"[""finish the rep even if imperfect"", ""treat this as a safe practice try""]","[""stopping early"", ""singing too quietly to be detected"", ""self-interrupting""]","[""commit to the full short rep"", ""use speaking-level clarity"", ""treat it as practice not performance""]",score >= threshold AND abort_flag = false,score < 72 OR low_confidence_cap_triggered,4,3m 0s,30s,"{""weights"": {""completion"": 0.4, ""confidence"": 0.2, ""accuracy"": 0.15, ""control"": 0.15, ""expression"": 0.1}, ""metrics"": [""completion_ratio"", ""abort_flag"", ""voiced_ratio"", ""mean_abs_cents"", ""self_interrupt_count""], ""pass_rule"": ""score >= threshold AND abort_flag = false""}",72,"[""keep volume comfortable"", ""pause if anxiety spikes""]"
D023,S1_L04,S1,R3,Line in One Breath 4,phrase_sing,line_shaping,phrasing,easy,5,"[""D022""]",Sing the full phrase in one connected musical line with the planned breath. Use the reference replay if needed.,"[""know where the line is going"", ""save enough air for the ending""]","[""breathing in the wrong place"", ""disconnecting notes"", ""flat phrasing""]","[""plan the breath before starting"", ""connect the vowels"", ""aim the phrase toward one destination note""]",score >= threshold AND phrase_completion_ratio >= 0.85,score < 72 OR low_confidence_cap_triggered,5,3m 10s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.1, ""expression"": 0.25}, ""metrics"": [""phrase_completion_ratio"", ""breath_break_count"", ""dynamic_shape_match"", ""mean_abs_cents"", ""consistency_score""], ""pass_rule"": ""score >= threshold AND phrase_completion_ratio >= 0.85""}",72,"[""reset if you run out of air instead of pushing""]"
D024,S1_L04,S1,R4,Stable Sustain 4,sustain_hold,sustain_control,pitch_stability,easy,6,"[""D023""]",Sing the target note and keep it steady for the full hold. Use the reference replay if needed.,"[""steady airflow"", ""keep the sound calm and centered""]","[""pitch drift"", ""running out of air early"", ""jaw tension""]","[""steady your airflow"", ""release the jaw and tongue"", ""aim for a smaller steadier sound""]",score >= threshold AND held_duration_ms >= target_hold_ms * 0.8; target_hold_ms = 2500,score < 72 OR low_confidence_cap_triggered,3,3m 20s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.15}, ""metrics"": [""mean_abs_cents"", ""stability_stddev_cents"", ""held_duration_ms"", ""time_in_good_zone_ms"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND held_duration_ms >= target_hold_ms * 0.8""}",72,"[""do not force extra seconds"", ""rest if you feel breathless""]"
D025,S1_L05,S1,R1,Finish the Rep 5,confidence_rep,recording_confidence,performance_confidence,easy,1,[],Complete the short rep from start to finish without stopping yourself. Use the reference replay if needed.,"[""finish the rep even if imperfect"", ""treat this as a safe practice try""]","[""stopping early"", ""singing too quietly to be detected"", ""self-interrupting""]","[""commit to the full short rep"", ""use speaking-level clarity"", ""treat it as practice not performance""]",score >= threshold AND abort_flag = false,score < 72 OR low_confidence_cap_triggered,4,2m 30s,30s,"{""weights"": {""completion"": 0.4, ""confidence"": 0.2, ""accuracy"": 0.15, ""control"": 0.15, ""expression"": 0.1}, ""metrics"": [""completion_ratio"", ""abort_flag"", ""voiced_ratio"", ""mean_abs_cents"", ""self_interrupt_count""], ""pass_rule"": ""score >= threshold AND abort_flag = false""}",72,"[""keep volume comfortable"", ""pause if anxiety spikes""]"
D026,S1_L05,S1,R3,Commit and Complete 5,confidence_rep,recording_confidence,performance_confidence,easy,2,"[""D025""]",Complete the short rep from start to finish without stopping yourself. Use the reference replay if needed.,"[""finish the rep even if imperfect"", ""treat this as a safe practice try""]","[""stopping early"", ""singing too quietly to be detected"", ""self-interrupting""]","[""commit to the full short rep"", ""use speaking-level clarity"", ""treat it as practice not performance""]",score >= threshold AND abort_flag = false,score < 72 OR low_confidence_cap_triggered,5,2m 40s,30s,"{""weights"": {""completion"": 0.4, ""confidence"": 0.2, ""accuracy"": 0.15, ""control"": 0.15, ""expression"": 0.1}, ""metrics"": [""completion_ratio"", ""abort_flag"", ""voiced_ratio"", ""mean_abs_cents"", ""self_interrupt_count""], ""pass_rule"": ""score >= threshold AND abort_flag = false""}",72,"[""keep volume comfortable"", ""pause if anxiety spikes""]"
D027,S1_L05,S1,R1,Reference Match 5,match_note,single_note_matching,pitch_accuracy,easy,3,"[""D026""]","Listen to the reference, then sing the same pitch and settle in the center. Use the reference replay if needed.","[""listen first, then sing"", ""adjust slowly not suddenly""]","[""guessing the note"", ""overshooting the target"", ""starting too breathy""]","[""listen twice before singing"", ""slide slowly toward the center"", ""use a clean gentle onset""]",score >= threshold AND time_in_good_zone_ms >= 800,score < 72 OR low_confidence_cap_triggered,4,2m 50s,30s,"{""weights"": {""accuracy"": 0.4, ""control"": 0.2, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""mean_abs_cents"", ""time_in_good_zone_ms"", ""entry_time_ms"", ""overshoot_events"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND time_in_good_zone_ms >= 800""}",72,"[""stop if throat feels squeezed"", ""use a comfortable speaking-level volume""]"
D028,S1_L05,S1,R4,Long Tone 5,sustain_hold,sustain_control,pitch_stability,easy,4,"[""D027""]",Sing the target note and keep it steady for the full hold. Use the reference replay if needed.,"[""steady airflow"", ""keep the sound calm and centered""]","[""pitch drift"", ""running out of air early"", ""jaw tension""]","[""steady your airflow"", ""release the jaw and tongue"", ""aim for a smaller steadier sound""]",score >= threshold AND held_duration_ms >= target_hold_ms * 0.8; target_hold_ms = 1800,score < 72 OR low_confidence_cap_triggered,4,3m 0s,30s,"{""weights"": {""accuracy"": 0.25, ""control"": 0.35, ""completion"": 0.25, ""confidence"": 0.15}, ""metrics"": [""mean_abs_cents"", ""stability_stddev_cents"", ""held_duration_ms"", ""time_in_good_zone_ms"", ""voiced_ratio""], ""pass_rule"": ""score >= threshold AND held_duration_ms >= target_hold_ms * 0.8""}",72,"[""do not force extra seconds"", ""rest if you feel breathless""]"
D029,S1_L05,S1,R3,Safe Short Run 5,confidence_rep,recording_confidence,performance_confidence,easy,5,"[""D028""]",Complete the short rep from start to finish without stopping yourself. Use the reference replay if needed.,"[""finish the rep even if imperfect"", ""treat this as a safe practice try""]","[""stopping early"", ""singing too quietly to be detected"", ""self-interrupting""]","[""commit to the full short rep"", ""use speaking-level clarity"", ""treat it as practice not performance""]",score >= threshold AND abort_flag = false,score < 72 OR low_confidence_cap_triggered,5,3m 10s,30s,"{""weights"": {""completion"": 0.4, ""confidence"": 0.2, ""accuracy"": 0.15, ""control"": 0.15, ""expression"": 0.1}, ""metrics"": [""completion_ratio"", ""abort_flag"", ""voiced_ratio"", ""mean_abs_cents"", ""self_interrupt_count""], ""pass_rule"": ""score >= threshold AND abort_flag = false""}",72,"[""keep volume comfortable"", ""pause if anxiety spikes""]"
D030,S1_L05,S1,R4,Pattern Repeat 5,melody_echo,note_sequence_memory,melody_recall,easy,6,"[""D029""]","Listen to the short pattern once or twice, then echo it back in order. Use the reference replay if needed.","[""follow the contour"", ""wait for the start cue""]","[""wrong note order"", ""flat contour"", ""starting before the reference ends""]","[""sing the contour first"", ""break the pattern into chunks"", ""wait for the cue then begin""]",score >= threshold AND contour_correct_ratio >= 0.7,score < 72 OR low_confidence_cap_triggered,4,3m 20s,30s,"{""weights"": {""accuracy"": 0.2, ""contour"": 0.3, ""control"": 0.15, ""completion"": 0.2, ""confidence"": 0.15}, ""metrics"": [""contour_correct_ratio"", ""interval_error_semitones_mean"", ""note_accuracy_mean"", ""rhythm_onset_error_ms"", ""completion_ratio""], ""pass_rule"": ""score >= threshold AND contour_correct_ratio >= 0.7""}",72,"[""stay in speech-like volume on first tries""]"
D031,S1_L06,S1,R1,Directional Interval 6,interval_jump,mixed_interval_recall,interval_accuracy,easy,1,[],"Hear both notes, then sing the jump cleanly without sliding unless told. Use the reference replay if needed.","[""hear both notes in your head"", ""keep the jump light""]","[""wrong direction"", ""undershooting the jump"", ""forgetting the first note center""]","[""hear both notes before singing"", ""anchor the first pitch"", ""keep the jump light not forced""]",score >= threshold AND interval_size_error_semitones <= 1,score < 72 OR low_confidence_cap_triggered,5,2m 30s,30s,"{""weights"": {""accuracy"": 0.35, ""control"": 0.25, ""completion"": 0.2, ""confidence"": 0.2}, ""metrics"": [""note1_abs_cents"", ""note2_abs_cents"", ""interval_size_error_semitones"", ""correct_direction"", ""stability_stddev_cents_note2""], ""pass_rule"": ""score >= threshold AND interval_size_error_semitones <= 1""}",72,"[""reduce range if the leap feels strained""]"
